#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_ATOMSequence                                                                                  1         691                 6              7664.00        393.00         7271.00        648            8.39                2.69                1743.00             443            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_ActiveBindingSites                                                                            2         691                 6              7408.00        482.00         6926.00        658            8.64                2.60                1708.00             428            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_AtomicBind                                                                                    3         691                 6              7362.00        596.00         6766.00        670            9.12                2.46                1647.00             428            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Atoms                                                                                         4         691                 6              7346.00        598.00         6748.00        671            9.17                2.42                1625.00             428            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Bind                                                                                          5         691                 5              7248.00        473.00         6775.00        660            8.70                2.58                1703.00             424            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_CISPeptide                                                                                    6         691                 6              7462.00        397.00         7065.00        649            8.41                2.60                1690.00             428            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Chains                                                                                        7         691                 6              7324.00        600.00         6724.00        670            9.12                2.43                1625.00             428            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Class                                                                                         8         691                 6              7463.00        360.00         7103.00        640            8.30                2.71                1734.00             425            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Description                                                                                   9         691                 6              7464.00        381.00         7083.00        646            8.36                2.73                1765.00             424            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Family                                                                                        10        691                 6              7365.00        442.00         6923.00        656            8.57                2.76                1808.00             443            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_GeneticDefects                                                                                11        691                 6              7431.00        385.00         7046.00        649            8.41                2.65                1717.00             424            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_HelixStructure                                                                                12        691                 6              7481.00        395.00         7086.00        648            8.39                2.56                1659.00             442            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_HydrogenBond                                                                                  13        691                 6              7338.00        400.00         6938.00        649            8.41                2.64                1714.00             443            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Hydrophobicity                                                                                14        691                 6              7469.00        385.00         7084.00        646            8.36                2.65                1709.00             425            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_ModifiedResidue                                                                               15        691                 6              7372.00        385.00         6987.00        646            8.36                2.50                1617.00             423            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Molecule                                                                                      16        691                 6              7393.00        422.00         6971.00        652            8.47                2.79                1817.00             444            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_PathologicalFunctions                                                                         17        691                 6              7390.00        370.00         7020.00        643            8.32                2.50                1607.00             424            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_PhysiologicalFunctions                                                                        18        691                 6              7415.00        381.00         7034.00        646            8.36                2.71                1751.00             428            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Property                                                                                      19        691                 6              7284.00        357.00         6927.00        640            8.30                2.48                1590.00             424            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Reference                                                                                     20        691                 6              7365.00        388.00         6977.00        648            8.39                2.70                1752.00             424            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_ResidueLink                                                                                   21        691                 6              7358.00        385.00         6973.00        647            8.37                2.67                1726.00             424            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Residues                                                                                      22        691                 6              7367.00        680.00         6687.00        679            9.61                2.58                1750.00             429            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_SaltBridge                                                                                    23        691                 6              7331.00        389.00         6942.00        647            8.37                2.49                1612.00             425            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_SiteGroup                                                                                     24        691                 6              7324.00        592.00         6732.00        667            8.98                2.45                1637.00             428            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_SourceCell                                                                                    25        691                 6              7444.00        470.00         6974.00        661            8.74                2.53                1675.00             446            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DisulphideBond_subClassOf_Strands                                                                                       26        691                 6              7282.00        492.00         6790.00        660            8.70                2.72                1792.00             428            
#Axiom String                                                                                                           i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
